timestamp,event_type,user,host,source_ip,parent_process,process_name,command_line,target_user,registry_path,destination_ip,destination_port,status
2026-03-09 00:52:04.996557,process_start,eve,hr-4401,10.0.5.55,services.exe,rundll32.exe,wmic cpu get name,charlie,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,10.0.0.22,443.0,success
2026-03-09 00:54:04.996557,auth_success,alice,dc-01,10.0.0.22,cmd.exe,wmic.exe,powershell.exe Get-Process,david,,10.0.5.55,443.0,success
2026-03-09 00:54:04.996557,network_connection,bob,eng-2201,192.168.1.20,services.exe,powershell.exe,reg.exe add HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v Updater /t REG_SZ /d malware.exe,grace,,192.168.1.20,3389.0,success
2026-03-09 00:55:04.996557,process_start,eve,eng-2201,192.168.1.20,services.exe,powershell.exe,notepad.exe notes.txt,frank,HKLM\Software\Microsoft\Windows\CurrentVersion\Run,10.0.0.15,443.0,success
2026-03-09 00:57:04.996557,auth_failure,grace,eng-2201,10.0.0.22,outlook.exe,notepad.exe,wmic cpu get name,charlie,HKLM\Software\Microsoft\Windows\CurrentVersion\Run,10.0.0.22,80.0,success
2026-03-09 00:59:04.996557,auth_failure,grace,ws-1002,10.0.1.10,cmd.exe,cmd.exe,reg.exe query HKLM\Software,alice,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,10.0.0.22,3389.0,failure
2026-03-09 01:00:04.996557,auth_failure,david,ws-1003,10.0.0.15,winword.exe,rundll32.exe,powershell.exe -EncodedCommand SQBFAFgA,frank,,192.168.1.20,445.0,failure
2026-03-09 01:03:04.996557,auth_success,bob,ws-1002,192.168.1.20,cmd.exe,cmd.exe,powershell.exe Get-Process,charlie,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,10.0.1.10,139.0,success
2026-03-09 01:04:04.996557,process_start,charlie,hr-4401,10.0.0.15,winword.exe,notepad.exe,cmd.exe /c dir,eve,,10.0.0.15,443.0,failure
2026-03-09 01:08:04.996557,auth_failure,david,ws-1001,10.0.1.10,cmd.exe,powershell.exe,reg.exe query HKLM\Software,charlie,HKLM\Software\Microsoft\Windows\CurrentVersion\Run,192.168.1.20,139.0,failure
2026-03-09 01:09:04.996557,auth_failure,grace,dc-01,10.0.0.22,outlook.exe,notepad.exe,powershell.exe Get-Process,david,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,10.0.5.55,135.0,success
2026-03-09 01:11:04.996557,auth_failure,david,hr-4401,10.0.5.55,outlook.exe,reg.exe,notepad.exe notes.txt,charlie,HKLM\Software\Microsoft\Windows\CurrentVersion\Run,10.0.0.22,135.0,success
2026-03-09 01:12:04.996557,process_start,alice,hr-4401,10.0.0.22,services.exe,powershell.exe,reg.exe add HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v Updater /t REG_SZ /d malware.exe,alice,HKLM\Software\Microsoft\Windows\CurrentVersion\Run,10.0.0.15,139.0,failure
2026-03-09 01:16:04.996557,network_connection,bob,ws-1003,10.0.5.55,cmd.exe,notepad.exe,cmd.exe /c dir,david,,192.168.1.20,443.0,success
2026-03-09 01:16:04.996557,auth_failure,david,dc-01,10.0.0.15,explorer.exe,wmic.exe,reg.exe query HKLM\Software,alice,HKLM\Software\Microsoft\Windows\CurrentVersion\Run,10.0.0.15,445.0,success
2026-03-09 01:18:04.996557,process_start,bob,ws-1001,10.0.0.22,services.exe,notepad.exe,reg.exe query HKLM\Software,bob,HKLM\Software\Microsoft\Windows\CurrentVersion\Run,10.0.0.22,445.0,failure
2026-03-09 01:19:04.996557,auth_failure,grace,ws-1002,10.0.5.55,winword.exe,rundll32.exe,reg.exe query HKLM\Software,david,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,10.0.0.15,135.0,success
2026-03-09 01:19:04.996557,network_connection,david,eng-2201,10.0.0.15,outlook.exe,notepad.exe,cmd.exe /c whoami && net user,eve,HKLM\Software\Microsoft\Windows\CurrentVersion\Run,10.0.0.22,135.0,failure
2026-03-09 01:22:04.996557,process_start,eve,eng-2201,192.168.1.20,cmd.exe,reg.exe,notepad.exe notes.txt,frank,,10.0.0.15,80.0,failure
2026-03-09 01:22:04.996557,auth_failure,bob,ws-1002,10.0.0.15,excel.exe,rundll32.exe,powershell.exe Get-Process,charlie,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,10.0.1.10,139.0,success
2026-03-09 01:22:04.996557,auth_failure,charlie,eng-2201,10.0.1.10,services.exe,reg.exe,reg.exe add HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v Updater /t REG_SZ /d malware.exe,eve,,10.0.0.15,443.0,failure
2026-03-09 01:23:04.996557,auth_failure,grace,hr-4401,10.0.0.22,outlook.exe,rundll32.exe,wmic cpu get name,grace,HKLM\Software\Microsoft\Windows\CurrentVersion\Run,192.168.1.20,3389.0,success
2026-03-09 01:28:04.996557,process_start,charlie,ws-1001,10.0.1.10,outlook.exe,notepad.exe,reg.exe add HKCU\Software\Microsoft\Windows\CurrentVersion\Run /v Updater /t REG_SZ /d malware.exe,frank,,10.0.0.22,139.0,failure
2026-03-09 01:31:04.996557,auth_failure,grace,eng-2201,10.0.0.15,services.exe,rundll32.exe,powershell.exe Get-Process,bob,,192.168.1.20,135.0,failure
2026-03-09 01:31:04.996557,network_connection,alice,ws-1002,10.0.5.55,winword.exe,cmd.exe,wmic process call create powershell.exe,frank,,10.0.1.10,445.0,failure
2026-03-09 01:34:04.996557,registry_change,charlie,dc-01,10.0.5.55,winword.exe,cmd.exe,wmic cpu get name,david,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,192.168.1.20,445.0,failure
2026-03-09 01:34:04.996557,process_start,grace,dc-01,192.168.1.20,winword.exe,notepad.exe,cmd.exe /c dir,grace,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,192.168.1.20,443.0,success
2026-03-09 01:36:04.996557,network_connection,frank,ws-1003,192.168.1.20,outlook.exe,rundll32.exe,wmic cpu get name,grace,HKLM\Software\Microsoft\Windows\CurrentVersion\Run,10.0.0.15,3389.0,failure
2026-03-09 01:38:04.996557,registry_change,bob,hr-4401,10.0.0.15,outlook.exe,powershell.exe,powershell.exe -nop -w hidden -enc SQBuAHYAbwBrAGUALQBtAGkAbQBpAGsAYQB0AHoA,charlie,,10.0.5.55,135.0,success
2026-03-09 01:39:04.996557,process_start,bob,ws-1003,192.168.1.20,excel.exe,rundll32.exe,cmd.exe /c dir,eve,HKLM\Software\Microsoft\Windows\CurrentVersion\Run,10.0.0.15,135.0,failure
2026-03-09 01:40:04.996557,auth_success,david,ws-1001,10.0.5.55,cmd.exe,powershell.exe,wmic cpu get name,charlie,,10.0.0.15,445.0,failure
2026-03-09 01:42:04.996557,process_start,david,ws-1002,10.0.0.22,outlook.exe,powershell.exe,wmic cpu get name,bob,,10.0.5.55,3389.0,failure
2026-03-09 01:46:04.996557,process_start,grace,ws-1001,10.0.0.22,explorer.exe,powershell.exe,reg.exe query HKLM\Software,charlie,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,10.0.0.15,139.0,success
